"","x"
"1360",7
"1361",2
"1362",5
"1363",1
"1364",15
"1365",19
"1366",20
"1367",5
"1368",5
"1369",1
"1370",6
"1371",20
"1372",5
"1373",5
"1374",12
"1375",16
"1376",7
"1377",14
"1378",18
"1379",5
"1380",1
"1381",1
"1382",8
"1383",4
"1384",20
"1385",20
"1386",18
"1387",1
"1388",19
"1389",17
"1390",5
"1391",3
"1392",17
"1393",17
"1394",3
"1395",17
"1396",5
"1397",9
"1398",2
"1399",5
"1400",18
"1401",5
"1402",17
"1403",18
"1404",18
"1405",13
"1406",18
"1407",1
"1408",5
"1409",1
"1410",20
"1411",1
"1412",16
"1413",17
"1414",2
"1415",5
"1416",15
"1417",17
"1418",5
"1419",2
"1420",19
"1421",19
"1422",3
"1423",12
"1424",9
"1425",13
"1426",1
"1427",17
"1428",5
"1429",1
"1430",13
"1431",15
"1432",10
"1433",8
"1434",1
"1435",5
"1436",1
"1437",7
"1438",5
"1439",9
"1440",17
"1441",18
"1442",5
"1443",6
"1444",5
"1445",4
"1446",19
"1447",5
"1448",17
"1449",20
"1450",3
"1451",1
"1452",5
"1453",5
"1454",5
"1455",1
"1456",17
"1457",18
"1458",15
"1459",14
"1460",1
"1461",8
"1462",8
"1463",1
"1464",2
"1465",17
"1466",1
"1467",18
"1468",19
"1469",5
"1470",5
"1471",17
"1472",10
"1473",5
"1474",11
"1475",5
"1476",20
"1477",20
"1478",17
"1479",13
"1480",7
"1481",20
"1482",18
"1483",1
"1484",20
"1485",12
"1486",20
"1487",14
"1488",5
"1489",1
"1490",9
"1491",1
"1492",19
"1493",5
"1494",1
"1495",1
"1496",5
"1497",19
"1498",17
"1499",15
"1500",18
"1501",9
"1502",19
"1503",5
"1504",19
"1505",3
"1506",5
"1507",18
"1508",4
"1509",5
"1510",1
"1511",3
"1512",7
"1513",19
"1514",6
"1515",1
"1516",6
"1517",5
"1518",19
"1519",5
"1520",17
"1521",3
"1522",16
"1523",9
"1524",5
"1525",17
"1526",10
"1527",19
"1528",5
"1529",18
